,beer,brewery,style,link,abv,rating
0,Budweiser Budvar B:ORIGINAL / Czechvar B:ORIGINAL,Pilsner - Czech,Helles,/b/budejovicky-budvar-budweiser-budvar-boriginal-czechvar-boriginal/5385,5% ABV,3.273
1,Spaten München / Münchner Hell / Premium Lager,Lager - Helles,Helles,/b/spatenfranziskanerlowenbraugruppe-spaten-munchen-munchner-hell-premium-lager/1633,5.2% ABV,3.358
2,Lagerbier Hell,Lager - Helles,Helles,/b/augustinerbrau-munchen-lagerbier-hell/9254,5.2% ABV,3.646
3,Paulaner Original Münchner Hell / Premium Lager / Munich Lager,Lager - Helles,Helles,/b/paulaner-brauerei-paulaner-original-munchner-hell-premium-lager-munich-lager/3235,4.9% ABV,3.43
4,Andygator,Bock - Hell / Maibock / Lentebock,Helles,/b/abita-brewing-company-andygator/5627,8% ABV,3.538
5,Leffe Brune / Bruin,Brown Ale - Belgian,Dunkel,/b/abbaye-de-leffe-leffe-brune-bruin/5941,6.5% ABV,3.561
6,Shiner Holiday Cheer,Dunkelweizen,Dunkel,/b/spoetzl-brewery-shiner-holiday-cheer/6905,5.4% ABV,3.587
7,Köstritzer Schwarzbier,Schwarzbier,Dunkel,/b/kostritzer-schwarzbierbrauerei-kostritzer-schwarzbier/25784,4.8% ABV,3.52
8,Skuumkoppe,Dunkelweizen,Dunkel,/b/texelse-bierbrouwerij-skuumkoppe/51276,6% ABV,3.618
9,Aventinus (TAP06),Bock - Weizendoppelbock,Dunkel,/b/schneider-weisse-g-schneider-and-sohn-aventinus-tap06/16851,8.2% ABV,3.857
10,IPA,IPA - American,American+Pale+Ale,/b/lagunitas-brewing-company-ipa/4509,6.2% ABV,3.735
11,Arrogant Bastard Ale,Strong Ale - American,American+Pale+Ale,/b/arrogant-consortia-arrogant-bastard-ale/18099,7.2% ABV,3.734
12,Peeper,Pale Ale - American,American+Pale+Ale,/b/maine-beer-company-peeper/13088,5.5% ABV,3.824
13,Grunion Pale Ale,Pale Ale - American,American+Pale+Ale,/b/ballast-point-brewing-company-grunion-pale-ale/419534,5.5% ABV,3.759
14,Citrusinensis,Pale Ale - American,American+Pale+Ale,/b/lagunitas-brewing-company-citrusinensis/1119569,7.7% ABV,3.866
15,Kirsch Gose,Sour - Fruited Gose,Kölsch,/b/victory-brewing-company-kirsch-gose/972795,4.7% ABV,3.772
16,Gaffel Kölsch,Kölsch,Kölsch,/b/privatbrauerei-gaffel-becker-gaffel-kolsch/13647,4.8% ABV,3.323
17,Canoe Paddle Kölsch,Kölsch,Kölsch,/b/jacob-leinenkugel-brewing-company-canoe-paddle-kolsch/263791,5% ABV,3.32
18,Früh Kölsch,Kölsch,Kölsch,/b/colner-hofbrau-fruh-fruh-kolsch/1639,4.8% ABV,3.303
19,Reissdorf Kölsch,Kölsch,Kölsch,/b/privatbrauerei-heinrich-reissdorf-reissdorf-kolsch/27194,4.8% ABV,3.5
20,Franziskaner Premium Weissbier Naturtrüb,Hefeweizen,Weissbier,/b/spatenfranziskanerlowenbraugruppe-franziskaner-premium-weissbier-naturtrub/14564,5% ABV,3.71
21,Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier,Hefeweizen,Weissbier,/b/paulaner-brauerei-paulaner-hefeweissbier-hefeweizen-weissbier/15677,5.5% ABV,3.674
22,Weihenstephaner Hefeweissbier,Hefeweizen,Weissbier,/b/bayerische-staatsbrauerei-weihenstephan-weihenstephaner-hefeweissbier/8745,5.4% ABV,3.803
23,Erdinger Weißbier / Hefe-Weizen,Hefeweizen,Weissbier,/b/erdinger-weissbrau-erdinger-weissbier-hefeweizen/7420,5.3% ABV,3.659
24,König Ludwig Weissbier Hell / Royal Bavarian Hefe-Weizen,Hefeweizen,Weissbier,/b/konig-ludwig-schlossbrauerei-kaltenberg-konig-ludwig-weissbier-hell-royal-bavarian-hefeweizen/30203,5.5% ABV,3.585
25,IPA,IPA - American,India+Pale+Ale,/b/lagunitas-brewing-company-ipa/4509,6.2% ABV,3.735
26,Two Hearted Ale,IPA - American,India+Pale+Ale,/b/bells-brewery-two-hearted-ale/4133,7% ABV,3.961
27,All Day IPA,IPA - Session / India Session Ale,India+Pale+Ale,/b/founders-brewing-co-all-day-ipa/36834,4.7% ABV,3.714
28,Goose IPA,IPA - English,India+Pale+Ale,/b/goose-island-beer-co-goose-ipa/1353,5.9% ABV,3.521
29,Sculpin,IPA - American,India+Pale+Ale,/b/ballast-point-brewing-company-sculpin/5558,7% ABV,3.968
30,A Little Sumpin' Sumpin' Ale,Wheat Beer - American Pale Wheat,Brown+Ale,/b/lagunitas-brewing-company-a-little-sumpin-sumpin-ale/25796,7.5% ABV,3.8
31,Newcastle Brown Ale,Brown Ale - English,Brown+Ale,/b/john-smiths-newcastle-brown-ale/5856,4.7% ABV,3.398
32,Lagunitas Sucks,IPA - Imperial / Double,Brown+Ale,/b/lagunitas-brewing-company-lagunitas-sucks/285026,8% ABV,3.965
33,Hazelnut Brown Nectar,Brown Ale - American,Brown+Ale,/b/rogue-ales-hazelnut-brown-nectar/4179,5.6% ABV,3.803
34,Brown Shugga',Strong Ale - American,Brown+Ale,/b/lagunitas-brewing-company-brown-shugga/4740,10% ABV,3.744
35,Guinness Draught,Stout - Irish Dry,Stout,/b/guinness-guinness-draught/4473,4.2% ABV,3.783
36,Breakfast Stout,Stout - Oatmeal,Stout,/b/founders-brewing-co-breakfast-stout/4589,8.3% ABV,4.135
37,Milk Stout Nitro,Stout - Milk / Sweet,Stout,/b/left-hand-brewing-company-milk-stout-nitro/82680,6% ABV,3.941
38,Dragon's Milk,Stout - Imperial / Double,Stout,/b/new-holland-brewing-dragons-milk/123662,11% ABV,4.059
39,Old Rasputin,Stout - Russian Imperial,Stout,/b/north-coast-brewing-company-old-rasputin/30855,9% ABV,4.014
40,Heineken,Lager - Euro Pale,Pilsner,/b/heineken-heineken/5860,5% ABV,2.927
41,Pilsner Urquell,Pilsner - Czech,Pilsner,/b/plzensky-prazdroj-pilsner-urquell/37936,4.4% ABV,3.357
42,Grolsch Premium Lager,Pilsner - Other,Pilsner,/b/koninklijke-grolsch-grolsch-premium-lager/7221,5% ABV,3.235
43,Pacífico Clara,Lager - American,Pilsner,/b/grupo-modelo-pacifico-clara/5850,4.5% ABV,3.133
44,Warsteiner Premium Verum / German Pilsener,Pilsner - German,Pilsner,/b/warsteiner-warsteiner-premium-verum-german-pilsener/10703,4.8% ABV,3.204
45,IPA,IPA - American,Pale+Ale,/b/lagunitas-brewing-company-ipa/4509,6.2% ABV,3.735
46,Goose IPA,IPA - English,Pale+Ale,/b/goose-island-beer-co-goose-ipa/1353,5.9% ABV,3.521
47,Pale Ale,Pale Ale - American,Pale+Ale,/b/sierra-nevada-brewing-co-pale-ale/6284,5.6% ABV,3.637
48,Sculpin,IPA - American,Pale+Ale,/b/ballast-point-brewing-company-sculpin/5558,7% ABV,3.968
49,60 Minute IPA,IPA - American,Pale+Ale,/b/dogfish-head-craft-brewery-60-minute-ipa/3952,6% ABV,3.853
